turbine_type,calculated,has_cp_curve,has_ct_curve,has_power_curve,hub_height,id,manufacturer,max_speed_drive,name,nominal_power,power_density,power_density_2,rotor_area,rotor_diameter,source,turbine_id,turbine_type_v2,wind_class_iec,wind_zone_dibt
GE150/6000,,False,False,False,100; side spec,110,GE Wind,,Haliade 150-6MW,6000000,,,17906,151,https://www.gerenewableenergy.com/wind-energy/turbines/offshore-turbine-haliade; https://www.wind-turbine-models.com/turbines/1446-general-electric-haliade-150-6mw,119,GE-150_6000,Ib,
E-92/2350,True,True,False,True,69; 78; 84; 85; 98; 104; 108; 138,7,Enercon,16,E-92/2350,2350000,354,3,6647,92,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/,8,E-92_2350,IEC/EN IIA,WZ III; WZ 4 GK I; WZ 4 GK II
E-82/2350,True,True,False,True,59; 69; 78; 84,8,Enercon,18,E-82/2350,2350000,445,2,5280,82,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/,9,E-82_2350,IEC/EN IA; IEC/EN IIA,WZ 4 GK I
E-82/2300,True,True,False,True,78; 84; 85; 98; 108; 138,9,Enercon,18,E-82/2300 E2,2300000,436,2,5280,82,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/,10,E-82_2300,IEC/EN IIA,WZ III; WZ 4; WZ 4 GK I
E-70/2300,True,True,False,True,57; 64; 75; 85; 98; 114,10,Enercon,21,E-70/2300 E4,2300000,581,2,3959,71,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/,11,E-70_2300,IEC/EN IA; IEC/EN IIA,WZ III; WZ 4 GK I; WZ 4 GK II
E-82/2000,True,True,False,True,78; 84; 85; 98; 108; 138,11,Enercon,18,E-82/2000 E2,2000000,379,3,5280,82,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/,12,E-82_2000,IEC/EN IIA,WZ III; WZ 4; WZ 4 GK I
E-70/2000,,False,False,True,57; 64; 75; 85; 98; 114,12,Enercon,22,E-70/2000,2000000,505,2,3959,71,https://www.thewindpower.net/turbine_en_174_enercon_e70-2000.php,13,E-70_2000,,
E-53/800,True,True,False,True,50; 60; 73,13,Enercon,30,E-53/800,800000,364,3,2198,53,https://www.enercon.de/fileadmin/Redakteur/Medien-Portal/broschueren/pdf/ENERCON_Produkt_de_042017.pdf; https://www.wind-turbine-models.com/turbines/,14,E-53_800,IEC SA,WZ II exp.; WZ 3 GKI; WZ 4 GK II
V136/3450,True,False,False,False,82; 112; 132; 149,36,Vestas,,V136-3.45 MW,3450000,238,4,14525,136,https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/1282-vestas-v136-3.45,39,V-136_3450,,
N100/3300,,False,False,False,75;85;100,21,Nordex,,,3300000,,,7853,100,,23,N-100_3300,,
