turbine_type,calculated,has_cp_curve,has_ct_curve,has_power_curve,hub_height,id,index,installed_capacity,manufacturer,max_speed_drive,name,power_density,power_density_2,rotor_area,rotor_diameter,source,turbine_id,wind_class_iec,wind_zone_dibt
V136/4200,,False,False,False,,36,35,4200000,Vestas,,V136-4.2 MW,,,14525,136,,38,,
V136/3450,True,False,False,False,82; 112; 132; 149,37,36,3450000,Vestas,,V136-3.45 MW,238,4,14525,136,https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/1282-vestas-v136-3.45,39,,
V105/3450,,False,False,False,,38,37,3450000,Vestas,,V105-3.45 MW,,,8658,105,,41,,
V120/2200,,False,False,False,80; 92; 118; 122; 137,39,38,2200000,Vestas,,V120-2.2 MW,,,11308,120,,42,,
V116/2100,,False,False,False,84; 94,40,39,2100000,Vestas,,V116-2.1 MW,,,10567,116,,43,,
V110/2000,,False,False,False,80;95;125,41,40,2000000,Vestas,,V110-2.0 MW,,,9502,110,,44,,
V100/2000,,False,False,False,80; 95; 120,42,41,2000000,Vestas,,V100-2.0 MW,,,7853,100,,45,,
V126/3450,True,True,True,True,117; 137; 147; 149,43,42,3450000,Vestas,,V126-3.45 MW,277,4,12467,126,https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/1249-vestas-v126-3.45,46,,
V80/2000,True,False,False,True,60;67;78;80;100,56,55,2000000,Vestas,,V80-2.0 MW,,,5026,80,https://www.thewindpower.net/turbine_en_30_vestas_v80-2000.php,59,,
V126/3300,True,True,True,True,117;137,44,43,3300000,Vestas,,V126-3.3 MW,265,4,12467,126,https://www.wind-turbine-models.com/turbines/695-vestas-v126-3.3; https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/695-vestas-v126-3.3,47,IEC IIIa,
V126/3000,True,True,True,True,119,45,44,3000000,Vestas,,V126-3.0 MW,,,12467,126,https://www.wind-turbine-models.com/turbines/1345-vestas-v126-3.0,48,,
V117/4200,True,False,False,False,84 ; 91.5,46,45,4200000,Vestas,,V117-4.2 MW,,,10750,117,,49,IEC IIA,
V117/4000,True,False,False,False,84  ; 91.5,47,46,4000000,Vestas,,V117-4.0 MW,,,10750,117,,50,,
V117/3450,True,True,True,True,91.5; 116.5; 141.5,48,47,3450000,Vestas,,V117-3.45 MW,321,3,10750,117,https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/1248-vestas-v117-3.45,51,,
V117/3300,True,True,True,True,91.5; 116.5,49,48,3300000,Vestas,,V117-3.3 MW,,,10750,117,,52,,
SWT154/7000,,False,False,False,,57,56,7000000,Siemens,,SWT-7.0-154,,,18624,154,,61,,
V112/3450,True,True,True,True,84;,50,49,3450000,Vestas,,V112-3.45 MW,350,3,9851,112,https://www.vestas.com/en/products/turbines; https://www.wind-turbine-models.com/turbines/1247-vestas-v112-3.45,53,,
V112/3300,True,True,True,True,84; 94; 119; 140,51,50,3300000,Vestas,,V112-3.3 MW,335,3,9851,112,,54,,
V112/3075,True,True,True,True,84; 94; 119,52,51,3075000,Vestas,18,V112-3.075 MW,312,3,9851,112,https://www.wind-turbine-models.com/turbines/7-vestas-v112-onshore,55,IIa,
V112/3000,,True,True,True,,53,52,3000000,Vestas,,V112-3.0 MW,,,9851,112,http://www.windenergie-im-binnenland.de/powercurve.php,56,,
V90/3000,,False,False,False,80;,54,53,3000000,Vestas,,V90-3.0 MW,,,6361,90,https://www.wind-turbine-models.com/turbines/16-vestas-v90,57,IEC IIA/IEC S,
SWT154/6000,,False,False,False,,58,57,6000000,Siemens,11,SWT-6.0-154,323,3,18624,154,https://www.wind-turbine-models.com/turbines/657-siemens-swt-6.0-154,62,IEC Ia,
SWT130/3600,,True,True,True,85;115;135;165,61,60,3600000,Siemens,,SWT-3.6-130,,,13272,130,http://www.windenergie-im-binnenland.de/powercurve.php,65,,
SWT120/3600,,True,True,True,90;,62,61,3600000,Siemens,,SWT-3.6-120,,,11308,120,http://www.windenergie-im-binnenland.de/powercurve.php,66,,
SWT107/3600,,False,False,False,80;,63,62,3600000,Siemens,,SWT-3.6-107,,,8991,107,,67,,
SWT130/3300,,True,True,True,85;110;120;135,64,63,3300000,Siemens,,SWT-3.3-130,,,13272,130,http://www.windenergie-im-binnenland.de/powercurve.php,68,,
SWT113/3200,,True,True,True,79.5;92.5;99.5;122;142,65,64,3200000,Siemens,,SWT-3.2-113,,,10027,113,http://www.windenergie-im-binnenland.de/powercurve.php,69,,
SWT108/3200,,False,False,False,79.5,66,65,3200000,Siemens,,SWT-3.2-108,,,9160,108,,70,,
SWT101/3200,,False,False,False,74.5;79.5;89.5;94;99.5,67,66,3200000,Siemens,,SWT-3.2-101,,,8011,101,,71,,
SWT142/3150,,True,True,True,109;129;165,68,67,3150000,Siemens,,SWT-3.15-142,,,15835,142,http://www.windenergie-im-binnenland.de/powercurve.php,72,,
SWT113/3000,,False,False,False,79.5; 92.5; 99.5; 122; 142,69,68,3000000,Siemens,16,SWT-3.0-113,300,3,10027,113,,73,,
SWT108/3000,,False,False,False,79.5,70,69,3000000,Siemens,,SWT-3.0-108,,,9160,108,,74,,
SWT101/3000,,False,False,False,80;115;142.5,71,70,3000000,Siemens,,SWT-3.0-101,,,8011,101,,75,,
SWT120/2500,,False,False,False,85.1;92,72,71,2500000,Siemens,,SWT-2.5-120,,,11308,120,,76,,
SWT120/2300,,False,False,False,80;92.4,73,72,2300000,Siemens,,SWT-2.3-120,,,11308,120,,77,,
SWT113/2300,,True,True,True,99.5,74,73,2300000,Siemens,,SWT-2.3-113,,,10027,113,http://www.windenergie-im-binnenland.de/powercurve.php,78,,
SWT108/2300,,False,False,False,80;,75,74,2300000,Siemens,,SWT-2.3-108,,,9160,108,,79,,
SWT101/2300,,False,False,False,80;,76,75,2300000,Siemens,,SWT-2.3-101,,,8011,101,,80,,
SWT93/2300,,False,False,False,80;,77,76,2300000,Siemens,,SWT-2.3-93,,,6792,93,,81,,
SWT82/2300,,False,False,False,80;,78,77,2300000,Siemens,,SWT-2.3-82,,,5280,82,,82,,
SWT62/1300,,False,False,False,68-90,79,78,1300000,Siemens,,SWT-1.3-62,,,3019,62,,83,,
AD180/8000,,False,False,False,,80,79,8000000,Adwen/Areva,8,AD 8-180,314,3,25444,180,https://www.wind-turbine-models.com/turbines/1124-adwen-ad-8-180;,85,IEC Ib,
AD135/5050,,False,False,False,,81,80,5050000,Adwen/Areva,14,AD 5-135,353,3,14312,135,https://www.wind-turbine-models.com/turbines/1122-adwen-ad-5-135,86,IEC I (GL-TK 1 & GL-TK S),
AD132/5000,,False,False,False,80; 94,82,81,5000000,Adwen/Areva,12,AD 5-132,365,3,13683,132,https://www.wind-turbine-models.com/turbines/1123-adwen-ad-5-132,87,IEC IIA/IEC S,
AD116/5000,True,False,False,True,90;102,83,82,5000000,Adwen/Areva,15,M5000-116,473,2,10567,116,https://www.wind-turbine-models.com/turbines/23-areva-m5000-116 ; https://www.thewindpower.net/turbine_en_1048_adwen_ad-5-132.php,88,,
AD135/5000,,False,False,False,,84,83,5000000,Adwen/Areva,14,M5000-135,349,3,14312,135,https://www.wind-turbine-models.com/turbines/686-areva-m5000-135,89,IEC I (GL-TK 1 & GL-TK S),
