wind_speed,dena_mean,knorr_mean,dena_extreme1,dena_extreme2,knorr_extreme1,knorr_extreme2,knorr_extreme3
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.9972721368261529,0.9998257601476014,0.9929860359385148,0.9949751028361117,0.9969084880073801,0.9970294326568265,0.9939777739852398
1.0,0.9949534234119396,0.9996167398230088,0.9870351918419374,0.9907014229870407,0.9925579008849558,0.9936884973451328,0.9877536955752213
1.5,0.994909647404917,0.9988729971597116,0.987112484555579,0.9907282742172726,0.9884968282717937,0.9903470113611536,0.9820077946253004
2.0,0.9948663942446043,0.9966871845493562,0.987106885303186,0.990662367934224,0.9835280214592275,0.9859350815450644,0.975583652360515
2.5,0.9948230395443799,0.9933418014796548,0.9873001977218997,0.9907195385772621,0.9450446489930127,0.950693051376901,0.9319826539251952
3.0,0.9947791515151516,0.9879291190476192,0.9851367272727273,0.9900872575757576,0.9054106031746031,0.9125229206349207,0.8882797301587301
3.5,0.9740064181360202,0.9780813800000001,0.9407826523929471,0.9571807304785894,0.796408937,0.815406132,0.8283018199999999
4.0,0.9519090662460568,0.9673141869158879,0.8997646088328075,0.9267581293375393,0.689079308411215,0.7153791869158879,0.7609693551401869
4.5,0.9465304146341463,0.966406335694051,0.8862070243902438,0.9146638018292683,0.695035276203966,0.7190242563739377,0.7417654065155808
5.0,0.9429862569521691,0.9644744454288406,0.8771870901001112,0.9070845472747497,0.7037177423185673,0.7268143572101791,0.7238614214891612
5.5,0.9406237659574468,0.9650394568141594,0.8716118226950355,0.904416390070922,0.712399251858407,0.7346042175221239,0.714372162477876
6.0,0.9404179219858155,0.9655412267256638,0.8682531773049645,0.9010777872340425,0.7210815527433628,0.7423944830088496,0.7048818969911504
6.5,0.941743,0.965485223198594,0.8704461509433962,0.9037942264150943,0.7184223831282952,0.7407885694200351,0.6953914217926186
7.0,0.9438601582928148,0.965038323876475,0.8745941966504592,0.9062369875742841,0.7152733748430831,0.7371568847602309,0.6859023432086366
7.5,0.946834404894327,0.9660860763157895,0.8795145984427141,0.9114152424916574,0.7214754431174089,0.743348443117409,0.6837125097165991
8.0,0.9490528958990536,0.9671963827692307,0.8853586456361724,0.9160580084121978,0.7299563526153846,0.7502677279999999,0.6815609489230768
8.5,0.9523006034383955,0.9683437027447652,0.8914444114613179,0.9203168601719197,0.7423325663554046,0.7613026049801924,0.6839209859932088
9.0,0.9549979669030734,0.9695526556645853,0.8972969196217493,0.9248557423167849,0.7552194362176627,0.77344445941124,0.6864906449598572
9.5,0.9576428368794326,0.970946796369081,0.902445330969267,0.9297557777777778,0.7681060872169193,0.7855853395096388,0.6909937958075988
10.0,0.9606135658475111,0.9726159963302753,0.9090726918714557,0.9345907498424701,0.781151325382263,0.7978290605504587,0.6954975944954129
10.5,0.9631250037823684,0.9742841896607433,0.91531752167588,0.938257466395112,0.7947663088852989,0.8102762804523425,0.7022078788368337
11.0,0.9654389817351599,0.975950251149954,0.92016399543379,0.9419032511415525,0.8091258150873964,0.8232746945722171,0.7106351600735971
11.5,0.9678997294545456,0.9776221162790697,0.9262340632727274,0.9463563861818183,0.826628041860465,0.8384300697674418,0.7229238936877076
12.0,0.9701076631578948,0.979947362048894,0.9315537684210526,0.9504121684210526,0.8441311862630966,0.8548249662398137,0.7356402759022118
12.5,0.9726186566929133,0.9822729397376817,0.9360765779527559,0.9542007322834646,0.8614520946472883,0.8707467621410847,0.7510028596242467
13.0,0.9749240684721513,0.9845980900692841,0.9415396591722024,0.9581315247828309,0.8767451131639723,0.8860706143187066,0.7672259515011547
13.5,0.977037575949367,0.986408053069719,0.9466728481012658,0.9617354936708861,0.8905639573361083,0.8990929490114464,0.784245760665973
14.0,0.9792493333333333,0.9876061277056276,0.9520949574468085,0.9650341063829788,0.9032074242424243,0.9106246471861471,0.801265696969697
14.5,0.9812141134020619,0.9890165711371749,0.9556995876288661,0.9686640103092783,0.9122863335033147,0.9181203533911271,0.8182871101478837
15.0,0.9828338840378198,0.9900178609865471,0.9603090386540601,0.9717263912680757,0.9201044962630791,0.9263074499252616,0.8352509491778773
15.5,0.9846368441981747,0.9908271452859351,0.964342355280313,0.9746426303780965,0.9263991947449769,0.9324576275115919,0.8504124064914991
16.0,0.9858308133223683,0.9915049054632642,0.9675249597039474,0.976738328125,0.9333922354855284,0.9376804514471656,0.8654284639493064
16.5,0.9870815524054982,0.9921522765884568,0.9700481752577319,0.9785447319587629,0.9381927150196951,0.9426324980304847,0.8786644632642575
17.0,0.9879185299837925,0.9926537686784067,0.9726109319286873,0.980434035656402,0.9428127021713113,0.946577145323987,0.8918931482304666
17.5,0.9886591054964539,0.9931341926825098,0.9751674015957447,0.9823136335697399,0.9463765592408959,0.9504179728158659,0.9001107922721833
18.0,0.9898712796032239,0.9934111780821918,0.9785391342219467,0.9840416810291381,0.949940493150685,0.9538029178082191,0.9081895205479452
18.5,0.9912128568341437,0.99363318076803,0.9800392712047542,0.9856129384116693,0.953306274742429,0.9570973256322198,0.9155285266937246
19.0,0.9922605245813074,0.9940841188524591,0.9822099729875743,0.9867621550513236,0.9558537217213114,0.9599891844262295,0.9228673471311476
19.5,0.992747043223773,0.9947196580486303,0.9833304434939216,0.9879446650157586,0.9584006829793783,0.962182797937827,0.9280257251461989
20.0,0.993254769746874,0.9950445576255131,0.9841599057639524,0.988780296126868,0.9609483227028733,0.9643769854752131,0.9328800757814967
20.5,0.9932807163439892,0.9951412713033483,0.9844797235479513,0.9888007163439892,0.9625375424629976,0.9658722572208651,0.9369773320879436
