,rli_anlagen_id,p_nenn,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,source,modificationtimestamp
18,"GE 1,6",1600.0,0.0,,0.0,,0.0,,8,78,263,372,431,472,485,487,0.49,485,471,444,407,368,327,286,251,221,195,172,153,137,123,0.11,0.1,0.09,82,75,69,63,58,53,49,45,42,39,36,34,32,0.03,28,26,24,23,22,0.0,,EMD Windpro,2013-11-21 11:51:07
19,"GE 2,75",2750.0,0.0,,0.0,,0.0,,123,251,318,363,393,415,426,435,441,445,448,448,445,434,415,388,359,331,302,274,247,221,199,179,161,146,133,121,111,102,93,86,79,73,68,63,59,55,51,48,45,42,39,37,35,0.0,,EMD Windpro,2013-11-21 11:51:07
20,NEG MICON NM 72C 1500,1500.0,0.0,,0.0,,0.0,,18,,328,,417,,426,,422,,453,,452,,425,,377,,324,,264,,214,,178,,147,,122,,103,,88,,75,,65,,56,,49,,44,,38,0.0,,EMD Windpro,2013-11-21 11:51:07
21,NORDEX N 62,1300.0,0.0,,0.0,,0.0,,0.0,,169,,0.35,,398,,355,,407,,424,,411,,376,,0.33,,287,,246,,207,,172,,142,,117,,97,,81,,69,,59,,51,,45,,39,0.0,,EMD Windpro,2013-11-21 11:51:08
22,NORDEX S 70 1500,1500.0,0.0,,0.0,,0.0,,0.0,,159,,295,,373,,407,,0.44,,428,,431,,409,,0.35,,0.29,,232,,189,,155,,0.13,,109,,93,,0.08,,69,,0.06,,52,,46,,41,0.0,,EMD Windpro,2013-11-21 11:51:08
23,NORDEX S 77 1500,1500.0,0.0,,0.0,,0.0,,0.0,,241,,367,,396,,409,,411,,411,,0.39,,351,,299,,239,,192,,156,,128,,107,,0.09,,77,,66,,57,,49,,43,,38,,34,0.0,,EMD Windpro,2013-11-21 11:51:08
24,NORDEX N 43 600,600.0,0.0,,0.0,,0.0,,0.0,,299,,405,,375,,406,,0.43,,427,,409,,375,,347,,299,,253,,206,,0.17,,142,,0.12,,0.1,,83,,72,,62,,54,,47,,41,0.0,,EMD Windpro,2013-11-21 11:51:08
25,NORDEX N 60 1300,1300.0,0.0,,0.0,,0.0,,0.0,,262,,337,,0.35,,406,,424,,425,,407,,378,,0.34,,295,,262,,223,,189,,0.16,,131,,111,,95,,82,,71,,62,,54,,48,0.0,,EMD Windpro,2013-11-21 11:51:08
26,FRISIA F 48,750.0,0.0,,0.0,,0.0,,0.0,,183,,328,,377,,395,,407,,416,,0.41,,397,,372,,308,,247,,0.2,,165,,138,,116,,99,,85,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,EMD Windpro,2013-11-21 11:51:07
27,NORDEX N 90 2500 HS,2500.0,0.0,,0.0,,0.0,,0.01,174,305,383,425,0.45,463,471,475,479,0.48,479,476,0.47,462,451,0.43,0.4,364,328,292,261,234,0.21,0.19,172,157,143,131,0.12,0.11,101,94,87,0.08,74,69,65,0.06,56,53,49,46,44,41,0.0,,EMD Windpro,2013-11-21 11:51:08
28,NORDEX N 90 2500 LS,2500.0,0.0,,0.0,,0.0,,0.01,221,337,0.4,435,454,465,471,475,478,477,473,465,455,442,427,409,385,355,323,291,261,234,0.21,0.19,172,157,143,131,0.12,0.11,101,94,87,0.08,74,69,65,0.06,56,53,49,46,44,41,37,0.0,EMD Windpro,2013-11-21 11:51:08
29,NORDEX N 100 2500,2500.0,0.0,,0.0,,0.0,,23,224,329,392,427,447,456,462,465,468,468,466,462,457,0.44,411,376,339,302,267,237,212,0.19,171,155,0.14,127,116,106,97,89,82,76,0.07,65,61,56,53,49,46,43,0.04,38,35,33,0.0,,EMD Windpro,2013-11-21 11:51:08
30,NORDEX N 100 3300,3300.0,0.0,,0.0,,0.0,,0.0,63,225,311,366,398,419,432,441,447,451,453,453,451,446,438,423,399,0.37,0.34,309,279,251,226,204,185,168,153,0.14,129,118,109,0.1,93,86,0.08,74,69,65,0.06,57,53,0.05,47,44,0.0,,EMD Windpro,2013-11-21 11:51:08
31,NORDTANK NTK 600,600.0,0.0,,0.0,,0.0,,0.0,,0.0,,136,,317,,393,,422,,423,,392,,366,,334,,293,,244,,199,,162,,131,,108,,92,,0.08,,0.07,,62,,54,,48,0.0,0,,,EMD Windpro,2013-11-21 11:51:08
32,NORDEX N 117 3000,3000.0,0.0,,0.0,,0.0,,0.09,199,307,0.37,406,428,0.44,448,453,456,457,453,445,0.43,403,369,334,298,265,234,208,186,167,0.15,135,123,112,102,93,85,78,72,67,62,57,53,49,46,43,0.04,38,35,33,31,29,0.0,,EMD Windpro,2013-11-21 11:51:08
33,NORDTANK NTK 500,500.0,0.0,,0.0,,0.0,,0.0,,0.0,,214,,0.35,,408,,428,,428,,416,,396,,366,,328,,286,,244,,204,,167,,135,,0.11,,91,,78,,68,,0.06,,54,,49,0.0,,EMD Windpro,2013-11-21 11:51:08
34,REPOWER MM 82 2050,2050.0,0.0,,0.0,,0.0,,0.0,,309,,393,,449,,461,,463,,465,,445,,395,,342,,281,,0.23,,188,,155,,129,,109,,92,,79,,68,,0.06,,52,,46,,41,0.0,,EMD Windpro,2013-11-21 11:51:08
